transparent different types information collect use,0
ask permission sharing personal information third parties purposes request provide nests products think provide welcome additional service,1
ask permission sharing personal information third parties purposes request provide nests products think provide welcome additional service,2
use bestinclass data security tools keep data safe protect nest products unauthorized access,5
permission data collection processing using nest products agree allow us collect process information described privacy statement,0
international data transfers personal information may collected processed stored nest service providers united states countries servers reside please aware privacy protections legal requirements including rights authorities access personal information countries may equivalent country using nest products european economic area regions laws governing data collection use may differ united states law agree transfer personal data united states countries nest operates,8
nest learning thermostat collects setup information provide environmental data nest learning thermostats sensors direct adjustments device including temperature settings heating cooling usage information technical information device,0
setup information provide install nest learning thermostat youll asked several questions order help us create initial program temperature settings keep comfortable example well ask information like whether thermostat located home business like home address postalzip code information helps us customize experience example retrieving weather information neighborhood enabling homeaway assist automatically switch behavior nest products home leave come back addition nest learning thermostat pulls information directly heating cooling hvac system learn capabilities  heating cooling heatingonly system answering questions helps us set initial program keep comfortable,0
environmental data nest learning thermostats sensors collect data several sensors built nest learning thermostat sensors collect data current temperature humidity ambient light room also sense whether something room moving helps nest learning thermostat keep comfortable home save energy away example nest learning thermostat senses youve entered room extended period time adjust setting preferred temperature based assumption youve woken returned home similarly light goes one moving room nest learning thermostat may turn temperature sometimes help save energy,0
direct adjustments device change settings like temperature nest learning thermostat records feeds information nest algorithms learn desired comfort level different situations,0
technical information device order improve experience time help troubleshoot problem may encounter nest learning thermostat record nest learning thermostat model serial number software version technical information battery charge level,0
nest protect collects setup information provide environmental data nest protects sensors technical information device,0
setup information provide install nest protect youll asked information like home address postalzip code well home youre installing information helps customize experience example enabling nest protect inform event occurring better schedule features like sound check run certain hours day,0
environmental data nest protects sensors collect data several sensors built nest protect sensors collect data smoke carbon monoxide co levels current temperature humidity ambient light room also sense whether something room moving recording information nest protect things like detect smoke co home give alarms warnings example nest protect sees smoke co levels rising give heads danger reaches emergency alarm levels tell danger nest protect 2nd generation also contains microphone enables nest protect deliver certain enhanced features specifically nest protect emits sound samples safety checkup sound check microphone capture verify speaker horn functioning,0
technical information device order improve experience time help troubleshoot problem may encounter nest protect record nest protect model serial number software version technical information sensor status wifi connectivity battery charge level,0
nest cam collects enables collect setup information provide environmental data nest cam sensors video audio signals data facial recognition data enable familiar face alerts feature technical information device shared content,0
information input setup install nest cam youll asked certain basic information like camera name camera description home address zippostal code well home youre installing nest cam information used personalize experience  example tell device triggering notification,0
environmental data cameras sensors collect data several sensors built nest cam sensors collect data device temperature ambient light room recording information nest cam know instance whether dark turn night vision,0
may record process video andor audio recordings device subject instruction configuration settings may include capturing emailing portions data part notification analyzing data identify motion events instruct us setting camera choosing receive mobile notifications may process information nest cam send alerts something happens addition recording features enabled capture process,0
process face images underlying face prints purpose enabling device recognize familiar faces notify familiar unknown people,0
technical information device order improve experience time help troubleshoot problem may encounter nest cam record nest cam model serial number software version technical information wifi signal strength,0
collect store information allow us save share content instruction services,0
nest cam enables determine purpose means save share content may save may choose share certain content like video clips live video streams images captions comments people access using services,3
choose use familiar face alerts feature nest cam using app account control whether biometric processing occurs,2
