No,Sentence,Actor,Action,Data,Purpose,Data Elements
1,The way of using the information collected from you is to maintain and improve our Service,[],use,the information collected from you,to maintain and improve our Service,the information collected from you
2,The way of using the information collected from you is to assist us in analyzing how our Service is used,[],use,the information collected from you,to assist us in analyzing how our Service is used,the information collected from you
3,The way of using the information collected from you is to assist us in analyzing how our Service is used,[],use,the information collected from you,to assist us in analyzing how our Service is used,the information collected from you
4,The way of using the information collected from you is to prevent ad-fraud and abuse,[],use,the information collected from you,to prevent ad-fraud and abuse,the information collected from you
5,The way of using the information collected from you is to personalizes user's advertising experience,[],use,the information collected from you,to personalizes user's advertising experience,the information collected from you
6,The way of using the information collected from you is to provide advertising and promotional information in connection with the Service,[],use,the information collected from you,to provide advertising and promotional information in connection with the Service,the information collected from you
7,"The purpose of using information that we collected includes providing you with the products, promotions, services, newsletters, and information you request",[],use,information that we collected,"providing you with the products, promotions, services, newsletters, and information you request",information that we collected
8,The purpose of using information that we collected includes responding to correspondence that we receive from you,[],use,information that we collected,responding to correspondence that we receive from you,information that we collected
9,"The purpose of using information that we collected includes contacting you via email and otherwise about your account, products, services, contests, and events that we think might be of interest to you",[],use,information that we collected,"contacting you via email and otherwise about your account, products, services, contests, and events that we think might be of interest to you",information that we collected
10,"The purpose of using information that we collected includes maintaining or administering the Services, perform business analyses",[],use,information that we collected,"maintaining or administering the Services, perform business analyses",information that we collected
11,"The purpose of using information that we collected includes publishing stories, comments, photos, and other information posted in our interactive online features",[],use,information that we collected,"publishing stories, comments, photos, and other information posted in our interactive online features",information that we collected
12,The purpose of using information that we collected includes customizing and personalizing your use of the Services,[],use,information that we collected,customizing and personalizing your use of the Services,information that we collected
13,The reason for using your information contains to manage our relationship with you,[],use,your information,to manage our relationship with you,your information
14,"The reason for using your information contains to communicate with you about our products, services or support and send marketing communications",[],use,your information,"to communicate with you about our products, services or support and send marketing communications",your information
15,The reason for using your information contains service fulfilment,[],use,your information,service fulfilment,your information
16,The reason for using your information contains to update you on new services and benefits,[],use,your information,to update you on new services and benefits,your information
17,The reason for using your information contains conducting research and study usage behaviour and preferences,[],use,your information,conducting research and study usage behaviour and preferences,your information
18,The reason for using your information contains to allow you to participate in contests and surveys,[],use,your information,to allow you to participate in contests and surveys,your information
19,"The reason for using your information contains to improve and develop products, services and support including through quality assurance, research and data analysis activities.",[],use,your information,"to improve and develop products, services and support including through quality assurance, research and data analysis activities.",your information
20,The reason for using your information contains to comply with the law or lawful requests,[],use,your information,to comply with the law or lawful requests,your information
21,The purpose for collecting the information is to confirm your identity,[],collect,the information,to confirm your identity,the information
22,The purpose for collecting the information is to administer your account on any of our websites,[],collect,the information,to administer your account on any of our websites,the information
23,"The purpose for collecting the information is to enforce our terms, conditions and policies",[],collect,the information,"to enforce our terms, conditions and policies",the information
24,The purpose for collecting the information is to provide personalized services and offers for you based upon your interests,[],collect,the information,to provide personalized services and offers for you based upon your interests,the information
25,The purpose for collecting the information is to respond to inquiries if you have any queries regarding our services,[],collect,the information,to respond to inquiries if you have any queries regarding our services,the information
26,The purpose for collecting the information is to enable you to search for information on our websites,[],collect,the information,to enable you to search for information on our websites,the information
27,The purpose for collecting the information is to contact you regarding customer service and customer surveys,[],collect,the information,to contact you regarding customer service and customer surveys,the information
28,"The purpose for collecting the information is to track your behaviour on our website, to enhance our services and better user experience",[],collect,the information,"to track your behaviour on our website, to enhance our services and better user experience",the information
29,The purpose for collecting the information is to inform you about the changes we made to our services/policies/website,[],collect,the information,to inform you about the changes we made to our services/policies/website,the information
30,The purpose for collecting the information is to understand general customer trends and patterns to improve existing and ongoing marketing strategies for our products and services,[],collect,the information,to understand general customer trends and patterns to improve existing and ongoing marketing strategies for our products and services,the information
31,"The purpose for collecting the information is to inform you about our new products, services, promotions, offers etc",[],collect,the information,"to inform you about our new products, services, promotions, offers etc",the information
32,The reason of using your personal information includes contacting you,[],use,your personal information,contacting you,your personal information
33,"The reason of using your personal information includes providing our services, including (without limitation) streaming events that you participate in or attend",[],use,your personal information,"providing our services, including (without limitation) streaming events that you participate in or attend",your personal information
34,"The reason of using your personal information includes conducting market research, trade promotions or competitions",[],use,your personal information,"conducting market research, trade promotions or competitions",your personal information
35,The reason of using your personal information includes seeking your opinion,[],use,your personal information,seeking your opinion,your personal information
36,The reason of using your personal information includes answering your inquiries,[],use,your personal information,answering your inquiries,your personal information
37,The reason of using your personal information includes delivering customer service or account management,[],use,your personal information,delivering customer service or account management,your personal information
38,The reason of using your personal information includes promoting a testimonial from you,[],use,your personal information,promoting a testimonial from you,your personal information
39,The reason of using your personal information includes enabling us to undertake a credit assessment,[],use,your personal information,enabling us to undertake a credit assessment,your personal information
40,The reason of using your personal information includes considering receiving goods or services,[],use,your personal information,considering receiving goods or services,your personal information
